pop,x_coord,y_coord
ITU,-20.8971259095,-21.4804309159
STU,-16.3788605406,-16.7968445273
ESN,-0.537625414945,-8.21896186652
YRI,0.280541149105,-26.5600355244
LWK,4.09725534024,-24.0608450865
ACB,-18.5058108475,-19.7950059913
GBR,-2.63390408506,-16.6526372733
LWK,-0.349197699163,-25.5148772419
ESN,-9.42887911157,-18.7165751387
GWD,-15.8011731367,-18.8132972372
MSL,-2.07310794415,-11.6064541627
ESN,5.98607931465,-14.2979959031
MSL,-5.95883375327,-19.4574530201
YRI,-2.47143863976,-18.9257756669
TSI,1.13251840921,-9.33852988067
FIN,-0.833079658947,-5.94862029792
CLM,0.947702379546,-19.208886692
MXL,-19.4755170595,-21.1223460725
TSI,-3.09360650899,-13.2406177191
GIH,1.66644214984,-24.4042503773
JPT,0.582078288959,-11.0115390584
CHB,6.84053425752,-25.4052572285
GIH,-2.80003509588,-18.356633722
IBS,-15.5612782182,-21.3981875185
KHV,4.52358039629,-20.7577077338
LWK,4.10849009455,-23.5201201979
CLM,-3.46618796264,-17.3728937518
KHV,-14.6536189494,-25.8383337567
CHS,-0.314506375462,-17.4049408037
CHS,2.80578675056,-16.2963384814
PUR,8.1198869335,-28.0678240697
CLM,2.45719720999,-9.54576582424
LWK,-8.074854727,-11.3826821462
PEL,9.3769747734,-27.8695064773
GBR,3.87434668978,-27.0314903021
CHS,-0.245767409484,-11.1227124371
TSI,-8.50373864992,-15.9180267275
CEU,-5.43245478302,-20.6499877765
PJL,-2.79259209596,-15.9042302505
IBS,-7.85915176162,-19.0631355014
ITU,-7.62584795281,-26.0194455708
STU,-9.63598580303,-22.4539688803
GBR,-1.41407482116,-21.6414609454
ESN,-1.51234970832,-22.5970659553
ASW,4.02385954242,-28.7466535034
ESN,-15.4721977708,-23.4406086772
ITU,-14.8907957099,-27.4195163792
STU,6.37259143558,-17.1206311202
CHB,-3.31521978548,-15.8618544821
FIN,-21.2172783102,-19.3986056363
ITU,3.08971122241,-13.9685108695
CEU,3.56873358494,-14.8597029201
PUR,-0.170465659662,-18.4518661683
GWD,-17.580742948,-16.7525896162
ITU,-3.7241029678,-20.8753117068
CLM,-1.17184456399,-13.6953764454
ASW,-15.3134149928,-17.8668906275
TSI,-5.49993587464,-17.7179690087
PUR,-2.8509910064,-19.1656427548
IBS,-0.584215546583,-16.9862799354
STU,-0.326217755266,-33.9187346511
ACB,-14.9144662592,-21.3971974995
FIN,3.12044753086,-29.2151922599
CEU,-1.05748848409,-19.8883511906
ACB,1.1624722813,-25.3443867109
STU,1.32792108376,-21.2812922616
LWK,-11.6743824553,-24.5207463059
ASW,-1.73508853142,-17.3301672033
ACB,-5.27401304511,-8.4828000342
PEL,-1.2779873263,-35.6347913486
YRI,0.144376070244,-22.4460167818
ESN,2.76788777092,-15.1585051839
PEL,-10.962620478,-20.3775148744
GIH,1.52246558018,-23.1714212971
CHS,4.32606930927,-16.6297231838
GWD,1.58405760849,-9.34448322714
ESN,-4.95904084688,-13.588306172
LWK,0.289805589159,-17.9645879899
PUR,-14.6671281651,-18.589452298
STU,2.32852081389,-18.1300168151
IBS,-2.20259788264,-7.44323248698
JPT,0.103632369736,-20.0683250364
TSI,4.41263222911,-27.6351423534
GBR,6.68765003255,-21.9336702213
JPT,6.09699491887,-12.2597937817
ITU,-12.8820813244,-15.4481225092
ITU,-6.72343321839,-15.804644556
ACB,-9.99379268774,-21.6833507969
CHB,-16.0027588796,-20.9410513682
LWK,-5.57032469961,-5.22532572253
BEB,-7.06409834888,-17.288796716
LWK,-11.6142311422,-18.7084537352
IBS,-2.98572244144,-11.7478110046
KHV,8.32795393239,-26.2080109691
PJL,2.0312220092,-21.0278660417
BEB,7.02424033947,-28.5644387796
MXL,0.24150049166,-8.67982932132
GWD,2.66346844769,-21.2275326342
PJL,-14.8290796893,-20.7094200436
IBS,-16.0728455216,-22.5334366443
MSL,2.61718706961,-21.61284105
PJL,-1.09315617878,-19.090137245
ESN,4.47228754262,-28.5731036323
PJL,-13.5025657843,-30.5771809714
CDX,-4.12073751808,-4.06537113525
PUR,1.7778074068,-20.5208157521
ACB,1.79819603298,-10.5785448898
CLM,-6.07251884486,-23.7137656916
ACB,-11.0240495722,-21.9721823885
CLM,2.43795563812,-23.3441417421
JPT,2.60196903979,-28.1618611207
YRI,0.782095723096,-22.5233795402
PJL,-0.781547085976,-10.9634166532
PUR,3.66422588854,-30.7181533955
CDX,-2.87426691168,-12.205857962
LWK,4.89995613481,-22.1650932089
CDX,-2.60298633669,-10.4328016344
LWK,-6.75082037278,-17.1194397325
STU,-18.1997569356,-25.3441681041
KHV,-1.85506435705,-19.8953200367
GWD,2.96087631159,-16.7338997691
TSI,-4.58203038893,-8.20948503353
GWD,-20.1462504887,-20.7527471209
PEL,-0.168735725667,-17.8183336439
BEB,5.56107127959,-18.0791926075
PJL,-11.2320673664,-17.2611153207
GIH,4.90412038512,-26.7989147205
ITU,9.21516739963,-23.4911496356
IBS,-4.01618073704,-11.0574515521
ACB,-18.3630857803,-22.0955385711
YRI,7.22063946375,-28.3730508129
TSI,-2.69442649092,-13.6846430977
IBS,-12.5634472833,-18.0934922581
CDX,-2.33826260479,-15.6284450547
ESN,-1.07506020271,-33.9409696438
CLM,-13.1490193833,-15.9185589394
GIH,-1.35109059602,-26.7839934691
ASW,2.20189965865,-28.8160422988
GBR,4.11910489395,-28.9387154656
STU,1.20402307695,-9.54367596248
ACB,0.304376310339,-13.3459059794
GBR,-1.08637812796,-14.074258236
KHV,-1.95412533762,-17.8566484292
PEL,-10.5118412705,-19.6714767846
CLM,2.5352703854,-24.9769004366
GWD,-13.3474297864,-17.5594802479
GWD,4.98698258562,-20.2078042918
CLM,-3.18974016555,-18.4188997918
CHB,5.93576234752,-20.8537967389
ITU,-10.4640179616,-24.3658663891
LWK,-4.87608148084,-24.1157166259
FIN,3.1699006867,-18.4904679718
ITU,-0.0440198677733,-16.4663543841
KHV,3.57916712153,-21.6310493576
ASW,-8.74230649876,-26.5091718345
CEU,-1.74287258358,-16.9590152945
TSI,1.30991780312,-14.3268967191
GWD,-11.2140032165,-29.6150788715
KHV,2.37431794605,-16.167457125
CLM,-13.0516257937,-13.982239963
CHB,0.824167511863,-17.1783843443
CLM,4.08393322301,-22.3338412358
GBR,-17.9060822912,-24.3932253278
JPT,-20.8468725482,-24.6176937437
PJL,3.03981142323,-16.8251811375
GIH,3.13484945873,-21.5212358631
